synthetic,episode_id,track,axis,budget,event_cutoff,curve_type,candidate_id,source_event_seq,loss,time_per_task,status,reason,held_after_finish
True,DEMO-A,A,elapsed_seconds,0,0,incumbent,,,,,unknown,no_incumbent,False
True,DEMO-A,A,elapsed_seconds,0,0,observed_oracle,,,,,unknown,no_evaluated_candidate,False
True,DEMO-A,A,elapsed_seconds,3600,2,incumbent,A1,2,4.0,0.008,known,,False
True,DEMO-A,A,elapsed_seconds,3600,2,observed_oracle,A1,,4.0,,known,,False
True,DEMO-A,A,elapsed_seconds,7200,3,incumbent,A1,2,4.0,0.008,known,,False
True,DEMO-A,A,elapsed_seconds,7200,3,observed_oracle,A2,,3.6,,known,,False
True,DEMO-A,A,elapsed_seconds,10800,4,incumbent,A2,4,3.6,0.006,known,,False
True,DEMO-A,A,elapsed_seconds,10800,4,observed_oracle,A2,,3.6,,known,,False
True,DEMO-A,A,elapsed_seconds,14400,5,incumbent,A2,4,3.6,0.006,known,,False
True,DEMO-A,A,elapsed_seconds,14400,5,observed_oracle,A3,,3.1,,known,,False
True,DEMO-A,A,elapsed_seconds,18000,6,incumbent,A1,6,4.0,0.008,known,,False
True,DEMO-A,A,elapsed_seconds,18000,6,observed_oracle,A3,,3.1,,known,,False
True,DEMO-A,A,elapsed_seconds,21600,8,incumbent,A4,8,3.3,0.004,known,,False
True,DEMO-A,A,elapsed_seconds,21600,8,observed_oracle,A3,,3.1,,known,,False
True,DEMO-A,A,elapsed_seconds,25200,10,incumbent,A5,10,3.0,0.005,known,,False
True,DEMO-A,A,elapsed_seconds,25200,10,observed_oracle,A5,,3.0,,known,,False
True,DEMO-A,A,elapsed_seconds,27000,11,incumbent,A5,11,3.0,0.005,known,,False
True,DEMO-A,A,elapsed_seconds,27000,11,observed_oracle,A5,,3.0,,known,,False
True,DEMO-A,A,elapsed_seconds,28800,12,incumbent,A5,11,3.0,0.005,known,,False
True,DEMO-A,A,elapsed_seconds,28800,12,observed_oracle,A5,,3.0,,known,,False
True,DEMO-A,A,elapsed_seconds,3600,1,submitted,A1,1,4.0,0.008,evaluated,,False
True,DEMO-A,A,elapsed_seconds,7200,3,submitted,A2,3,3.6,0.006,evaluated,,False
True,DEMO-A,A,elapsed_seconds,14400,5,submitted,A3,5,3.1,0.012,evaluated,,False
True,DEMO-A,A,elapsed_seconds,21600,7,submitted,A4,7,3.3,0.004,evaluated,,False
True,DEMO-A,A,elapsed_seconds,25200,9,submitted,A5,9,3.0,0.005,evaluated,,False
True,DEMO-B,B,consumed_leases,1,3,incumbent,B1,3,4.0,0.007,known,,False
True,DEMO-B,B,consumed_leases,1,3,observed_oracle,B1,,4.0,,known,,False
True,DEMO-B,B,consumed_leases,2,6,incumbent,B2,6,,,unknown,synthetic_evaluation_failure,False
True,DEMO-B,B,consumed_leases,2,6,observed_oracle,B1,,4.0,,known,,False
True,DEMO-B,B,consumed_leases,3,9,incumbent,B3,9,3.2,0.005,known,,False
True,DEMO-B,B,consumed_leases,3,9,observed_oracle,B3,,3.2,,known,,False
True,DEMO-B,B,consumed_leases,4,12,incumbent,B3,9,3.2,0.005,known,,False
True,DEMO-B,B,consumed_leases,4,12,observed_oracle,B3,,3.2,,known,,False
True,DEMO-B,B,consumed_leases,1,2,submitted,B1,2,4.0,0.007,evaluated,,False
True,DEMO-B,B,consumed_leases,2,5,submitted,B2,5,,,failed,synthetic_evaluation_failure,False
True,DEMO-B,B,consumed_leases,3,8,submitted,B3,8,3.2,0.005,evaluated,,False
